Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Life Insurance,LICI,Life Insurance Corporation of India,9.54,"5,47,684",2.31,16,82,0.60,0.12,0.52,0.11
Ganesh Housing,GANESHHOU,Ganesh Housing Ltd,192,"6,864",0.18,-27,23,Negative Growth,8.35,Negative Growth+Yield,8.28
20 Microns,20MICRONS,20 Microns Ltd,12.1,725,0.61,18,21,0.67,0.58,0.65,0.56
PDS,PDSL,PDS Ltd,185,"5,105",0.91,-32,-9,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Manba Finance,MANBA,Manba Finance Ltd,15.1,686,0.55,44,29,0.34,0.52,0.34,0.51
Anant Raj,ANANTRAJ,Anant Raj Ltd,71.4,"21,312",0.17,41,72,1.74,0.99,1.73,0.99
IKIO Tech,IKIO,IKIO Technologies Ltd,114,"1,686",0.00,-16,-7,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Maiden Forgings,543874,Maiden Forgings Ltd,25.8,130,0.00,-19,24,Negative Growth,1.07,Negative Growth+Yield,1.07
Physicswallah,PWL,Physicswallah Ltd,"2,543","39,493",0.00,30,18,84.77,141.28,84.77,141.28
Themis Medicare,THEMISMED,Themis Medicare Ltd,,"1,012",0.45,N/A,N/A,N/A,N/A,N/A,N/A
Oricon Enterpris,ORICONENT,Oricon Enterprises Ltd,130,952,0.83,-22,26,Negative Growth,5.00,Negative Growth+Yield,4.85
